index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
27290,256,256,0,4702.3604,103.0048,0.0000,255.0000,49.7842,18853,1.0000
27291,256,256,0,2613.2876,132.8286,0.0000,255.0000,50.7144,16664,1.0000
27292,256,256,0,2797.8337,127.3854,0.0000,255.0000,63.0992,16240,1.0000
27293,256,256,0,1545.6006,158.8096,0.0000,255.0000,74.7875,12863,1.0000
27294,256,256,0,1540.6508,86.0558,0.0000,255.0000,53.4361,13612,1.0000
27295,256,256,0,2239.6492,196.9090,0.0000,255.0000,47.9221,10840,1.0000
27296,256,256,0,2271.3645,131.2248,0.0000,255.0000,55.4497,17229,1.0000
27297,256,256,0,1464.9830,146.8752,0.0000,255.0000,75.0853,10192,1.0000
27298,256,256,0,1634.2146,133.9450,0.0000,255.0000,32.0970,15918,1.0000
27299,256,256,0,1956.2677,159.1125,0.0000,255.0000,65.0988,13815,1.0000
27300,256,256,0,3122.2798,146.6308,0.0000,255.0000,61.0528,15476,1.0000
27301,256,256,0,4159.0386,97.6237,0.0000,255.0000,58.5417,19672,1.0000
27302,256,256,0,1168.2285,103.8591,0.0000,255.0000,43.9837,10224,1.0000
27303,256,256,0,3036.1841,134.6063,0.0000,255.0000,67.8422,17384,1.0000
27304,256,256,0,2711.0198,61.6475,0.0000,255.0000,54.7777,15034,1.0000
27305,256,256,0,3466.3645,127.9600,0.0000,255.0000,43.6099,19121,1.0000
27306,256,256,0,2213.1299,127.4053,0.0000,255.0000,64.0402,14509,1.0000
27307,256,256,0,1938.1621,101.7231,0.0000,255.0000,71.9917,12705,1.0000
27308,256,256,0,3913.4915,129.9340,0.0000,255.0000,61.7169,19132,1.0000
27309,256,256,0,1914.5137,130.8516,0.0000,255.0000,61.8846,13792,1.0000
27310,256,256,0,6492.1069,128.9764,0.0000,255.0000,59.3660,23476,1.0000
27311,256,256,0,884.7629,81.0674,0.0000,255.0000,42.4585,9098,1.0000
27312,256,256,0,1263.6206,117.5917,0.0000,255.0000,49.5620,12582,1.0000
27313,256,256,0,4909.7871,50.2071,0.0000,255.0000,51.2941,18264,1.0000
27314,256,256,0,1685.5371,179.3312,0.0000,255.0000,45.8359,14155,1.0000
27315,256,256,0,1284.4247,157.8628,0.0000,255.0000,85.1887,12033,1.0000
27316,256,256,0,881.3625,88.1718,0.0000,255.0000,46.0139,11511,1.0000
27317,256,256,0,2488.1233,95.4305,0.0000,255.0000,60.0774,13861,1.0000
27318,256,256,0,2504.0833,124.6564,0.0000,255.0000,58.2354,16156,1.0000
27319,256,256,0,3762.4463,104.5043,0.0000,255.0000,57.4076,18042,1.0000
27320,256,256,0,1625.5374,142.0165,0.0000,255.0000,71.0611,14394,1.0000
27321,256,256,0,1843.3091,94.0446,0.0000,251.0000,37.4011,13518,1.0000
27322,256,256,0,464.4091,103.6219,0.0000,255.0000,74.9907,10405,1.0000
27323,256,256,0,1903.5190,195.4691,0.0000,255.0000,51.0704,11704,1.0000
27324,256,256,0,868.8019,145.2846,4.0000,255.0000,50.7939,10356,0.9691
27325,256,256,0,2718.4253,104.5216,0.0000,255.0000,87.8993,14097,1.0000
27326,256,256,0,2204.1462,148.6564,0.0000,255.0000,52.8281,16131,1.0000
27327,256,256,0,4058.6287,69.8907,0.0000,255.0000,61.9014,16294,1.0000
27328,256,256,0,810.8947,114.6718,0.0000,255.0000,50.1285,12996,1.0000
27329,256,256,0,701.2859,103.2180,0.0000,255.0000,52.2245,11410,1.0000
27330,256,256,0,2237.4712,138.2541,0.0000,255.0000,51.5968,15451,1.0000
27331,256,256,0,1741.2402,130.0809,0.0000,255.0000,72.0682,12379,1.0000
27332,256,256,0,872.1586,136.2936,0.0000,255.0000,77.2899,11395,1.0000
27333,256,256,0,1489.6357,139.7206,0.0000,255.0000,72.8799,11551,1.0000
27334,256,256,0,1230.0792,64.3136,0.0000,255.0000,65.3523,12268,1.0000
27335,256,256,0,331.6661,198.9582,33.0000,255.0000,45.3529,6736,0.7708
27336,256,256,0,5294.5635,113.7177,0.0000,255.0000,49.5968,22312,1.0000
27337,256,256,0,1633.7943,119.7357,0.0000,255.0000,65.1199,14123,1.0000
27338,256,256,0,2796.2439,117.0585,0.0000,255.0000,66.5438,15764,1.0000
27339,256,256,0,321.3123,190.2514,0.0000,255.0000,49.7344,7653,1.0000
27340,256,256,0,1956.8702,143.1791,0.0000,255.0000,63.3699,15192,1.0000
27341,256,256,0,606.5101,117.6252,0.0000,255.0000,37.8054,10283,1.0000
27342,256,256,0,3395.2524,131.3195,0.0000,255.0000,62.6968,17519,1.0000
27343,256,256,0,2498.6892,94.4478,0.0000,255.0000,79.5827,15344,1.0000
27344,256,256,0,1219.5453,93.2197,0.0000,255.0000,51.0833,10247,1.0000
27345,256,256,0,2925.8013,93.5443,0.0000,255.0000,53.6379,16384,1.0000
