from,to,distance
images/images/food and d rinks/kDEKaLntXJCVqD6GwFMD.jpg,images/images/food and d rinks/CQD7ZGTXCLwDFqNxEVe1.jpg,0.713005
images/images/travel and  adventure/Places365_val_00007352.jpg,images/images/travel and  adventure/Places365_val_00011519.jpg,0.713005
images/images/travel and  adventure/Places365_val_00007238.jpg,images/images/art and culture/i - 984.jpeg,0.712992
images/images/travel and  adventure/Places365_val_00007098.jpg,images/images/art and culture/284 (7).jpg,0.712992
images/images/architecure/3795293623_0a32ffd437_m.jpg,images/images/architecure/2467539539_07be84772f_n.jpg,0.712984
images/images/architecure/2209792902_61b3db4db6.jpg,images/images/travel and  adventure/Places365_val_00009146.jpg,0.712983
images/images/food and d rinks/ZZRuNhaOg52ZG7xDnoGJ.png,images/images/food and d rinks/WUk6Z6P6yjFyDDoAUSyi.jpg,0.712971
images/images/travel and  adventure/Places365_val_00013169.jpg,images/images/art and culture/725 (6).jpg,0.712965
images/images/travel and  adventure/Places365_val_00012457.jpg,images/images/architecure/8382538702_3ec755d006_m.jpg,0.712955
images/images/travel and  adventure/Places365_val_00012430.jpg,images/images/travel and  adventure/Places365_val_00012915.jpg,0.712947
images/images/art and culture/19 (8).jpg,images/images/art and culture/i - 1407.jpeg,0.712916
images/images/travel and  adventure/Places365_val_00011111.jpg,images/images/travel and  adventure/Places365_val_00005762.jpg,0.712911
images/images/art and culture/6.jpg,images/images/art and culture/i - 1328.jpeg,0.712902
images/images/travel and  adventure/Places365_val_00010272.jpg,images/images/art and culture/i - 1272.jpeg,0.712879
images/images/art and culture/21 (3).jpg,images/images/art and culture/118 (3).jpg,0.712874
images/images/travel and  adventure/Places365_val_00005791.jpg,images/images/travel and  adventure/Places365_val_00012841.jpg,0.712842
images/images/travel and  adventure/Places365_val_00007354.jpg,images/images/travel and  adventure/Places365_val_00012862.jpg,0.712826
images/images/art and culture/i - 1502.jpeg,images/images/art and culture/i - 804.jpeg,0.712812
images/images/food and d rinks/0Dbaxo3XhoK3JJLP6rgx.jpg,images/images/food and d rinks/6CPANYfwy3KWxNBtbYTA.jpg,0.712808
images/images/art and culture/512 (5).jpg,images/images/art and culture/64 (7).jpg,0.712771
images/images/food and d rinks/Uv40OULtYb5IKE6yAPQ6.jpg,images/images/food and d rinks/rrUAUy75QbEcoNRJFwas.jpg,0.712755
images/images/art and culture/399 (6).jpg,images/images/architecure/4929722986_701f140534_n.jpg,0.712716
