component_id,mean,sum,count,min,max
11173,1.873715,2.000000,0.936857,0.936857,0.936857
11216,5.599163,6.000000,0.933194,0.899791,1.000000
11235,1.832255,2.000000,0.916127,0.916127,0.916127
11314,1.813825,2.000000,0.906913,0.906913,0.906913
11371,1.852451,2.000000,0.926225,0.926225,0.926225
11389,1.763289,2.000000,0.881645,0.881645,0.881645
11415,2.000000,2.000000,1.000000,1.000000,1.000000
11530,1.870378,2.000000,0.935189,0.935189,0.935189
11533,1.791516,2.000000,0.895758,0.895758,0.895758
11641,1.780303,2.000000,0.890152,0.890152,0.890152
11642,5.474215,6.000000,0.912369,0.883851,0.928722
11652,3.606807,4.000000,0.901702,0.881045,0.922359
11698,1.764461,2.000000,0.882230,0.882230,0.882230
11706,1.800528,2.000000,0.900264,0.900264,0.900264
11809,1.772666,2.000000,0.886333,0.886333,0.886333
11810,2.000000,2.000000,1.000000,1.000000,1.000000
11882,1.877608,2.000000,0.938804,0.938804,0.938804
11928,2.665232,3.000000,0.888411,0.881407,0.902419
11934,1.854622,2.000000,0.927311,0.927311,0.927311
12012,1.807076,2.000000,0.903538,0.903538,0.903538
12115,1.806727,2.000000,0.903364,0.903364,0.903364
12155,1.760412,2.000000,0.880206,0.880206,0.880206
12234,1.765096,2.000000,0.882548,0.882548,0.882548
12268,1.893860,2.000000,0.946930,0.946930,0.946930
12325,1.808924,2.000000,0.904462,0.904462,0.904462
12593,1.767746,2.000000,0.883873,0.883873,0.883873
12623,1.836317,2.000000,0.918158,0.918158,0.918158
12674,1.974020,2.000000,0.987010,0.987010,0.987010
12715,1.986523,2.000000,0.993261,0.993261,0.993261
12765,1.761444,2.000000,0.880722,0.880722,0.880722
12922,1.805665,2.000000,0.902832,0.902832,0.902832
12949,1.979653,2.000000,0.989827,0.989827,0.989827
12962,1.874923,2.000000,0.937461,0.937461,0.937461
12984,1.827103,2.000000,0.913552,0.913552,0.913552
13120,1.803877,2.000000,0.901938,0.901938,0.901938
13189,1.761413,2.000000,0.880706,0.880706,0.880706
13422,1.773002,2.000000,0.886501,0.886501,0.886501
13450,1.777443,2.000000,0.888722,0.888722,0.888722
13459,1.799125,2.000000,0.899562,0.899562,0.899562
13771,1.781938,2.000000,0.890969,0.890969,0.890969
13814,1.973926,2.000000,0.986963,0.986963,0.986963
13998,2.000000,2.000000,1.000000,1.000000,1.000000
14027,1.990962,2.000000,0.995481,0.995481,0.995481
14174,1.795036,2.000000,0.897518,0.897518,0.897518
14213,1.807064,2.000000,0.903532,0.903532,0.903532
14298,1.950029,2.000000,0.975015,0.975015,0.975015
14302,1.986870,2.000000,0.993435,0.993435,0.993435
14327,1.784895,2.000000,0.892447,0.892447,0.892447
14345,1.936714,2.000000,0.968357,0.968357,0.968357
14396,1.864758,2.000000,0.932379,0.932379,0.932379
14549,1.944228,2.000000,0.972114,0.972114,0.972114
14575,1.999999,2.000000,1.000000,1.000000,1.000000
