from,to,distance
images/images/art and culture/0847.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/food and d rinks/xUiXOzueE1jiWQrCE38K.jpg,images/images/food and d rinks/z3jQCkYBoXtDrw8mxnkH.jpg,1.000000
images/images/food and d rinks/efdPNNc5OrT4lsymOVV6.jpg,images/images/food and d rinks/pIX6YKvYX2sJcgAk5aCo.jpg,1.000000
images/images/art and culture/0849.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/art and culture/0849.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/art and culture/2013.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/0863.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/0863.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/art and culture/0865.jpg,images/images/art and culture/1890.jpg,1.000000
images/images/art and culture/0865.jpg,images/images/art and culture/1990.jpg,1.000000
images/images/art and culture/0866.jpg,images/images/art and culture/1716.jpg,1.000000
images/images/art and culture/0866.jpg,images/images/art and culture/2091.jpg,1.000000
images/images/food and d rinks/efdPNNc5OrT4lsymOVV6.jpg,images/images/food and d rinks/GDnqpMXh3mia6TK1rigP.jpg,1.000000
images/images/architecure/120px-Aakirke(26)Kirken_set_fra_syd¢st.jpg,images/images/architecure/120px-Aakirke(26)Kirken_set_fra_syd�st.jpg,1.000000
images/images/art and culture/0820.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/0820.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/food and d rinks/PPUWAddiLfM1ouaCyX4t.jpg,images/images/food and d rinks/qztOJEc1cOkC5o5SqKyF.jpg,1.000000
images/images/food and d rinks/PPUWAddiLfM1ouaCyX4t.jpg,images/images/food and d rinks/y1sNm48H10siSUavySch.jpg,1.000000
images/images/art and culture/0822.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/art and culture/0822.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/0824.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/art and culture/0824.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/food and d rinks/4F8FB1eVbTnRM2xyl4dE.jpg,images/images/food and d rinks/uYQi1kHGaJ03ACeS8GhH.jpg,1.000000
images/images/art and culture/0868.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/architecure/5950485375_13f8e05574_m.jpg,images/images/architecure/5951045524_e003532038_m.jpg,1.000000
images/images/art and culture/2013.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/art and culture/0838.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/0838.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/art and culture/0840.jpg,images/images/art and culture/1890.jpg,1.000000
images/images/art and culture/0840.jpg,images/images/art and culture/1990.jpg,1.000000
images/images/food and d rinks/xUiXOzueE1jiWQrCE38K.jpg,images/images/food and d rinks/DuTuVJQzzfEIMPMK2kRY.jpg,1.000000
images/images/art and culture/0841.jpg,images/images/art and culture/1716.jpg,1.000000
images/images/art and culture/0841.jpg,images/images/art and culture/2091.jpg,1.000000
images/images/food and d rinks/EL1tD2uKhygMgBdWOA16.jpg,images/images/food and d rinks/OWyOVTqKaPLZYDZRgoiM.jpg,1.000000
images/images/art and culture/0915.jpg,images/images/art and culture/1890.jpg,1.000000
images/images/art and culture/0894.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/0895.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/0895.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/0897.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/art and culture/0897.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/0899.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/art and culture/0899.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/art and culture/0913.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/0913.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/art and culture/0894.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/0915.jpg,images/images/art and culture/1990.jpg,1.000000
images/images/art and culture/0916.jpg,images/images/art and culture/1716.jpg,1.000000
images/images/art and culture/0916.jpg,images/images/art and culture/2091.jpg,1.000000
images/images/food and d rinks/AhdQVfmbuHh7CvUb8UcX.jpeg,images/images/food and d rinks/drzNL7BACeRvYMPdL5LA.jpeg,1.000000
images/images/art and culture/0918.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/art and culture/0918.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/art and culture/0919.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/0919.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/0920.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/0920.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/0922.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/art and culture/2163.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/0868.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/art and culture/0869.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/0869.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/0870.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/0870.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/2322.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/2322.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/art and culture/0872.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/art and culture/0872.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/0874.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/art and culture/0874.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/art and culture/2318.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/art and culture/0888.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/0888.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/art and culture/0890.jpg,images/images/art and culture/1890.jpg,1.000000
images/images/art and culture/0890.jpg,images/images/art and culture/1990.jpg,1.000000
images/images/art and culture/0891.jpg,images/images/art and culture/1716.jpg,1.000000
images/images/art and culture/0891.jpg,images/images/art and culture/2091.jpg,1.000000
images/images/art and culture/2163.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/food and d rinks/agMJK8nvc300sOziGZp5.jpg,images/images/food and d rinks/RyXOYF6J1rYzw1P6iODg.jpg,1.000000
images/images/art and culture/0893.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/art and culture/0893.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/art and culture/1913.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/1919.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/1919.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/1918.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/art and culture/1918.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/art and culture/1916.jpg,images/images/art and culture/2091.jpg,1.000000
images/images/art and culture/1916.jpg,images/images/art and culture/1716.jpg,1.000000
images/images/art and culture/2297.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/1915.jpg,images/images/art and culture/1990.jpg,1.000000
